Faz;Objective (Amaç);KR No;Key Result (Temel Sonuç);Başarı Kriteri;OKR Puanı (1-5);Durum;Hedef Yıl
Faz 1 - Giriş;L1 destek ekibinin tekrarlayan IT sorunlarını hızlıca çözmesini sağlayan bir AI asistan sistemi oluşturmak;KR 1.1;Proje amacı ve kapsamı net bir şekilde tanımlandı;Proje tanıtım belgesi hazırlandı ve ekiple paylaşıldı;5.0;Mükemmel;2026
Faz 1 - Giriş;L1 destek ekibinin tekrarlayan IT sorunlarını hızlıca çözmesini sağlayan bir AI asistan sistemi oluşturmak;KR 1.2;Hedef kullanıcı profili belirlendi;L1 destek ajanı persona dokümanı oluşturuldu;5.0;Mükemmel;2026
Faz 1 - Giriş;L1 destek ekibinin tekrarlayan IT sorunlarını hızlıca çözmesini sağlayan bir AI asistan sistemi oluşturmak;KR 1.3;Çözülecek problem net olarak ifade edildi;Dağınık bilgiye hızlı erişim problemi somut örneklerle belgelendi;5.0;Mükemmel;2026
Faz 1 - Giriş;L1 destek ekibinin tekrarlayan IT sorunlarını hızlıca çözmesini sağlayan bir AI asistan sistemi oluşturmak;KR 1.4;Proje başarı metrikleri tanımlandı;Yanıt süresi, doğruluk oranı, kullanıcı memnuniyeti hedefleri belirlendi;4.0;İyi;2026
Faz 2 - Araştırma;Projenin kullandığı temel teknolojileri ve kavramları anlamak;KR 2.1;RAG kavramı ekip tarafından anlaşıldı;Bul ve Üret mantığı örneklerle açıklandı ve ekip sunumu yapıldı;5.0;Mükemmel;2026
Faz 2 - Araştırma;Projenin kullandığı temel teknolojileri ve kavramları anlamak;KR 2.2;LLM ve Embedding kavramları öğrenildi;Embedding metnin sayısal parmak izi anlayışı oluştu ve demo gösterildi;4.0;İyi;2026
Faz 2 - Araştırma;Projenin kullandığı temel teknolojileri ve kavramları anlamak;KR 2.3;Hibrit arama mantığı (BM25 + Semantik) kavrandı;Neden iki yöntemin birlikte kullanıldığı belgelendi;4.0;İyi;2026
Faz 2 - Araştırma;Projenin kullandığı temel teknolojileri ve kavramları anlamak;KR 2.4;Teknoloji stacki araştırması tamamlandı;FastAPI, PostgreSQL ve SentenceTransformers tercihleri gerekçelendirildi;5.0;Mükemmel;2026
Faz 2 - Araştırma;Projenin kullandığı temel teknolojileri ve kavramları anlamak;KR 2.5;Rakip ve benzer çözümler incelendi;En az 3 alternatif araç değerlendirildi;4.0;İyi;2026
Faz 3 - Tasarım;Sistemin teknik mimarisini ve algoritmalarını tasarlamak;KR 3.1;Sistem mimarisi diyagramı oluşturuldu;Frontend, Backend, Veritabanı akışı görselleştirildi;5.0;Mükemmel;2026
Faz 3 - Tasarım;Sistemin teknik mimarisini ve algoritmalarını tasarlamak;KR 3.2;Veritabanı şeması tasarlandı;Temel tablolar tanımlandı;5.0;Mükemmel;2026
Faz 3 - Tasarım;Sistemin teknik mimarisini ve algoritmalarını tasarlamak;KR 3.3;RAG arama algoritması tasarlandı;Embedding, Cosine Similarity, Sıralama akışı belgelendi;4.0;İyi;2026
Faz 3 - Tasarım;Sistemin teknik mimarisini ve algoritmalarını tasarlamak;KR 3.4;Döküman işleme stratejisi belirlendi;PDF ve DOCX için chunk boyutu ve overlap belirlendi;4.0;İyi;2026
Faz 3 - Tasarım;Sistemin teknik mimarisini ve algoritmalarını tasarlamak;KR 3.5;API endpoint tasarımı yapıldı;Yükleme, arama, sohbet endpointleri listelendi;5.0;Mükemmel;2026
Faz 3 - Tasarım;Sistemin teknik mimarisini ve algoritmalarını tasarlamak;KR 3.6;Güvenlik tasarımı tamamlandı;JWT token, rate limiting, kullanıcı onay akışı planlandı;4.0;İyi;2026
Faz 4 - MVP Basit;PDF ve DOCX yükleyip RAG ile doğru parçayı bulan prototip oluşturmak;KR 4.1;PDF dosyaları başarıyla yüklenip parçalanıyor;En az 3 farklı PDF yüklenip chunkları doğrulandı;5.0;Mükemmel;2026
Faz 4 - MVP Basit;PDF ve DOCX yükleyip RAG ile doğru parçayı bulan prototip oluşturmak;KR 4.2;DOCX dosyaları başarıyla yüklenip parçalanıyor;En az 3 farklı DOCX yüklenip chunkları doğrulandı;5.0;Mükemmel;2026
Faz 4 - MVP Basit;PDF ve DOCX yükleyip RAG ile doğru parçayı bulan prototip oluşturmak;KR 4.3;Embedding vektörleri doğru üretiliyor;Her chunk için 384 boyutlu vektör oluşturulduğu doğrulandı;5.0;Mükemmel;2026
Faz 4 - MVP Basit;PDF ve DOCX yükleyip RAG ile doğru parçayı bulan prototip oluşturmak;KR 4.4;Kullanıcı sorusuna en benzer 5 sonuç gösteriliyor;Benzerlik skoru %50 üzeri sonuçlar sıralı listeleniyor;4.0;İyi;2026
Faz 4 - MVP Basit;PDF ve DOCX yükleyip RAG ile doğru parçayı bulan prototip oluşturmak;KR 4.5;Arama süresi 3 saniyenin altında;100 chunklık veritabanında ortalama arama süresi ölçüldü;4.0;İyi;2026
Faz 4 - MVP Basit;PDF ve DOCX yükleyip RAG ile doğru parçayı bulan prototip oluşturmak;KR 4.6;Basit ve kullanılabilir bir arayüz mevcut;Dosya yükleme ve soru sorma ekranı çalışır durumda;4.0;İyi;2026
Faz 4 - MVP Basit;PDF ve DOCX yükleyip RAG ile doğru parçayı bulan prototip oluşturmak;KR 4.7;Doğruluk oranı kabul edilebilir düzeyde;10 sorudan en az 6sında doğru parça ilk 3te;3.5;Orta;2026
Faz 5 - MVP Orta;RAG sonuçlarını LLM ile sentezleyerek profesyonel cevaplar üretmek;KR 5.1;LLM API entegrasyonu tamamlandı;En az 1 LLM sağlayıcısı başarıyla bağlandı;5.0;Mükemmel;2026
Faz 5 - MVP Orta;RAG sonuçlarını LLM ile sentezleyerek profesyonel cevaplar üretmek;KR 5.2;RAG sonuçları LLM ile sentezleniyor;Bulunan parçalar prompta ekleniyor ve LLM cevap üretiyor;5.0;Mükemmel;2026
Faz 5 - MVP Orta;RAG sonuçlarını LLM ile sentezleyerek profesyonel cevaplar üretmek;KR 5.3;LLM yanıtları profesyonel formatta;Adım adım talimatlar, başlıklar ve kaynak referansları içeriyor;4.0;İyi;2026
Faz 5 - MVP Orta;RAG sonuçlarını LLM ile sentezleyerek profesyonel cevaplar üretmek;KR 5.4;Birden fazla kaynaktan bilgi sentezleniyor;Farklı dosyalardan gelen parçalar tutarlı tek cevaba dönüştürülüyor;4.0;İyi;2026
Faz 5 - MVP Orta;RAG sonuçlarını LLM ile sentezleyerek profesyonel cevaplar üretmek;KR 5.5;Yanıt süresi kabul edilebilir düzeyde;RAG arama ve LLM sentez toplam süresi 15 saniyenin altında;3.5;Orta;2026
Faz 5 - MVP Orta;RAG sonuçlarını LLM ile sentezleyerek profesyonel cevaplar üretmek;KR 5.6;Doğruluk oranı belirgin şekilde arttı;10 sorudan en az 8inde doğru ve faydalı cevap;4.0;İyi;2026
Faz 5 - MVP Orta;RAG sonuçlarını LLM ile sentezleyerek profesyonel cevaplar üretmek;KR 5.7;Halüsinasyon oranı düşük;LLM döküman dışı bilgi üretmediği 10 test ile doğrulandı;3.5;Orta;2026
Faz 5 - MVP Orta;RAG sonuçlarını LLM ile sentezleyerek profesyonel cevaplar üretmek;KR 5.8;Kullanıcı geri bildirimi mekanizması eklendi;Beğen ve beğenme butonları ile kullanıcı memnuniyeti toplanıyor;4.0;İyi;2026
